configuration,macro_f1,ci_lower,ci_upper,benign_f1,PII_f1,financial_f1,confidential_f1,benign_precision,PII_precision,financial_precision,confidential_precision,benign_recall,PII_recall,financial_recall,confidential_recall,benign_support,PII_support,financial_support,confidential_support
full_ensemble,0.970250340397906,0.9668827464118853,0.9735623873533596,0.9341963322545846,0.9905889063168402,0.9456485495165055,0.9745135653603727,0.9154334038054969,0.9941327990841442,0.964625850340136,0.9699945444626296,0.9537444933920705,0.9870701903949985,0.9274035317200785,0.9790748898678414,908,7038,1529,3632
minus_bert,0.9597425073275101,0.9561018504328487,0.9635949163298418,0.8793478260869565,0.9685437438562,0.9361702127659575,0.9745135653603727,0.8680257510729614,0.9573847862298723,0.9519945909398242,0.9699945444626296,0.8909691629955947,0.9799658994032395,0.920863309352518,0.9790748898678414,908,7038,1529,3632
minus_roberta,0.9629297266570922,0.9593524884945087,0.9664087886871946,0.9347708894878706,0.9905889063168402,0.9456485495165055,0.952551724137931,0.9155227032734953,0.9941327990841442,0.964625850340136,0.9543946932006634,0.9548458149779736,0.9870701903949985,0.9274035317200785,0.950715859030837,908,7038,1529,3632
minus_bilstm,0.8739478374410555,0.8668817235343114,0.8811901817471913,0.9319654427645788,0.9904463139883074,0.6560344827586206,0.9753627155762387,0.9141949152542372,0.9939896966227819,0.9620733249051833,0.9697876973326075,0.9504405286343612,0.9869281045751634,0.4977109221713538,0.9810022026431718,908,7038,1529,3632
minus_rule_based,0.9644109604813754,0.960487792376614,0.9678695400797115,0.9333333333333333,0.99000999000999,0.9266881028938907,0.9765347885402456,0.9117647058823529,0.9944094036697247,0.9114484503478811,0.9678204434829638,0.9559471365638766,0.9856493321966467,0.9424460431654677,0.9854074889867841,908,7038,1529,3632
solo_bert,0.9629727990773751,0.9593993154989369,0.9665505190602155,0.9317571198280494,0.9899379147934061,0.9266409266409267,0.9723395557977926,0.9097586568730325,0.9944086021505376,0.9119696010132996,0.962503371998921,0.9548458149779736,0.9855072463768116,0.9417920209287116,0.9823788546255506,908,7038,1529,3632
solo_roberta,0.9705770170369991,0.9672480743316026,0.9735858286339661,0.9262472885032538,0.9893761140819964,0.9460800529275554,0.9762748841014454,0.9123931623931624,0.9929869758122227,0.9571619812583668,0.9670448406266883,0.9405286343612335,0.985791418016482,0.935251798561151,0.98568281938326,908,7038,1529,3632
solo_bilstm,0.9470832412638778,0.9429034526222485,0.9508823998315253,0.8353569694026226,0.9746707193515705,0.915416533673795,0.9511624707662677,0.7471763683753258,0.9932153392330384,0.8940149625935162,0.9505086609843277,0.947136563876652,0.9568059107701051,0.9378678875081753,0.95181718061674,908,7038,1529,3632
solo_rule_based,0.8020198762998388,0.7936820143153698,0.81044542908579,0.6051844466600199,0.9429641365404005,0.6560344827586206,0.8070610096004955,0.5528233151183971,0.9560455607476636,0.9620733249051833,0.9221514508138712,0.6685022026431718,0.9302358624609264,0.4977109221713538,0.7175110132158591,908,7038,1529,3632
best_single,0.9705770170369991,0.9672480743316026,0.9735858286339661,0.9262472885032538,0.9893761140819964,0.9460800529275554,0.9762748841014454,0.9123931623931624,0.9929869758122227,0.9571619812583668,0.9670448406266883,0.9405286343612335,0.985791418016482,0.935251798561151,0.98568281938326,908,7038,1529,3632
